muhogo	throat
ubuhunga bwa muhogo	a sore throat
ebikora bya muhogo	runny nose
tulima muhogo mumusiri gwaitu	we grow a nose in our nostrils
muhogo kyokulya kyamunuka mu bunyoro	food smell in the nose
omuceri	rice
tucumba omuceri buli kiro	we grind rice every day
omuceri gukura mukyeya	rice grows in the dry season
omuhendo gwo'muceri gweyongire	increase in the price of rice
ekiyuni	bird
ebiyuni babigesa omukyanda	the birds learn to fly
ekikeke	the shell
ebikora bye'bikeke babirya	the insects that the chickens eat
tubyara ebikeke haihi no'rugo	planting bushes near the house
kugesa	to measure
nitugesa ebicoli kiro kinu	we're going to teach you a lesson tonight
amagesa gabaire marungi omwaka gunu	good luck this year
hanyuma yo'kugesa twahura esingo	after the test we met the neck
akasumi kokugesa kaba kasumi kokusemererwa	a toothbrush is a toothbrush
okusesira ebirimwa amaizi goruseke	watering plants
okusesira ebirimwa amaizi goruseke kiyambaho ebirimwa kukura omukasumi ke'kyanda	watering plants regularly helps the plants to grow
abalimi bakozesa okusesira ebirimwa amaizi omumisiri yabo	Egyptian farmers used water to irrigate their crops
okurimira	farming
turimira omusiri tutakabyaire	we are planting a mulberry tree
etrakita ikozesibwa okurimira	tractors used for farming
okusiga	sowing
tusiga embibo omutandikwa ye'njura	we are planting a seed
okusiga kukorwa hanyuma yo'kulima	sowing is done after planting
okugesa	measuring
abalimi nibagesa oburo	the farmers are going to plant
okugesa kukolebya hanyuma ye'bimera byezire	try to get rid of it and then plant it
okusegesa	to make fun of
tusegesa oburo okubaganizamu esingo	we shake their necks
okusegesa mulimo gugumire	procrastination
okusalira	making decisions
tusalira omwani nukyo twongeze amagesa	we choose the enemy and then we increase the chances
okusalira kiyambaho ebirimwa kukura kurungi	determination contributes to the growth of crops
okwombera	coughing
twombera omusiri buli wiiki	we pick the moss every week
okwombera kwihamu ebisaka ebtakwetagibya mumusiri	coughing up unwanted moisture from mosquitoes
enkoko	chicken
tulinda enkoko omuka	we are waiting for the chicken
enkoko zalika amahuli bulikiro	chickens lay their eggs in the nest
enkoko zirya esingo ne'bihuka	chickens eat the neck and crawl
akame	drought
tulinda obume habye'nyama	we wait for our physical health
enyama yo'bume erimu ebirisa	nutritious meat
okukama	to steal
tukama ente buli nyenkyakara	we milk cows every month
okukama kukorebya emirundi ebiri omu kiro	sneezing twice a night
amata marungi hali abana abato	milk is good for babies
ebifu by'ebimera	dead plants
ebifu by'ebimera biyongera orwezo mwitaka	the stems of plants increase the strength of the soil
tukora ebifu by'ebimera okuruga mubifu byebimera	we make plant manure from plant manure
orwezo	power
obusa bw'ente rwezo rurungi	cow dung is good
tumasa orwezo omumusiri	we give a handshake to a mosquito
orwezo ruhindura itaka	a force that transforms the earth
enjura	rain
enjura enungi eba nungi muno hali abalimi	rainfall is good for farmers
enjura sizoni enu ebaire mbi	rain this season is bad
ebirimwa nibyenda enjura ekumara kukura	crops are harvested after the rains
efuka	the spine
efuka kikwatwa kikuru mukulima	become a big fish in the field
tukozesa efuka kulima omusiri	we use a straw to cultivate lettuce
efuka etweire eyorobya omulimo	it becomes a burden that weighs us down
ekisalizo	a curse
tukozesa ekisalizo okuhunjya ekisaka	we use a shovel to blow up the nest
ekisalizo kikozesibwa okusara emikonde ye'bitoke	a scythe is used to cut through a spear
enaijoro	one night
tukozesa enaijoro okugesa oburo	we use a needle to measure weights
enengere	the spider
tukozesa enengere okuhimba itaka	we use rice as a soil conditioner
enengere ehimba emigugu ekuremera	a heavy-duty carrier
kutunda aheru yihanga	selling a piece of jewelry
uganda etunda omwani mumahanga maingi	uganda sells tobacco to many countries
okutunda omwani aheru yihanga kireta sente hali abalimi	the sale of white rice brings money to the farmers
ekitebe ky'abalimi	farmers' cooperative
abalimi bataha mukitebe nukwo batundire hamu	farmers come to the market and sell ham
abe'bitebe bagura ebicoli hali abalimi	farmers buy cotton from farmers
oburo	time
tulima oburo omumisiri yaitu	we're planting our own corn
oburo babukozesa okukora tonto	toothbrushes
obusera byo'buro bwine ekirisa	your stomach is full of nutrients
omugusa	kindness
omugusa tiguhura ekyanda	kindness does not find fault
omwani	the enemy
omwani kirimwa kya sente ekyomugaso muno mu uganda	money is a valuable commodity in uganda
tugesa omwani kabiri omumwaka	twice a year
ebiiti bwomwani nibyetaga kubisalira	trees need to be cut down
ebinyobwa	alcoholic beverages
ebinyobwa bine potaini nyingi	four drinks with a lot of potassium
tubyara ebinyobwa hanyuma ye'njura	we bring drinks and then he drinks
awutu ye'binyobwa bagikozesa kucumba	a pot is a beverage that is used as a condiment
ebitakuli	unhealthy
ebitakuli bikura kurungi omwitaka ryo'mumusenyi	the grass grows well on sandy soil
tugesa ebitakuli hanyuma ya'mezi asaatu	we test the bottles after three months
ebilaya	oaths
ebilaya babibyara omurwere	babies are born with a disease
tutogosa ebilaya habwe'kulya	we don't wash dishes before eating
ente	cattle
ente nungi muno mukulinda ebisoro mu bunyoro	there are many cows here
turiisa ente habe'nyama n'amata	we feed cows meat and milk
ente ziriisibya omu rwere	cattle grazing in a pasture
empunu	empty
turiisa empunu habye'nyama	we feed the cockroaches for their meat
empunu ziriya ebisigirwe byo'mukicumbiro	caterpillars will eat your leftovers in the kitchen
okulinda empunu kirimu amagoba	waiting in vain is rewarding
okuriisa ente za'mata	feeding dairy cows
okuriisa ente za'mata kireta sente omumaka	feeding dairy cows brings money to the family
ente zamata zikamwa amata maingi	dairy cows suck more milk
okutwara itaka	taking up land
okutwara itaka kisisa emisiri	carrying dirt to feed mosquitoes
emiiti etangira okutwarwa kwitaka	trees begin to move away from the ground
omuwendo	number
omuwendo gw'ebicooli gugezire haiguru	the number of pupils has risen
abalimi betoimbaita habwemihendo okuba hansi	farmers are calling us because the prices are low
kutunda /kuguza	to sell/sell
abalimi batunda/bakaguza ebiriimwa byabo omu katale	farmers sell their crops in the market
tutunda/tukaguza ebitooke buli wiiki	we sell potatoes every week
okugura	shopping
tugura embibo kuruga mukitebe	buy boxes from the headquarters
gavumenti egura esingo hali abalimi	the government is cutting off the neck of the farmers
aba	he/she
abaanyu	your friends
abuuka	he rises
abuurra	he hears
abagomborozi	travelers
abange	many
abamasaza	the elders
abatongole	officials
abemiruka	running away
agange	mine
agutamba	playing
aguurra	to buy
aheeru	white
aheeru ya	the height of the
aho	where
abonaaho	self-sufficient
ahukaniza	he/she/it
ahuza	he heals
abukana	is consistent
ahonaaho	where
akaamuje	small
bukamuje	to come
ahanyima	in the back
hamwango	not in a hurry
obwango	the brain
akagemo	temptation
obugemo	temptation
haiguru mubicuu	high in the air
akagirita	he/she/it
obugirita	a carrier
akagobo	the scythe
obugoba	disfellowshipping
akasumi kataito	a small tree
obusumi butaito	the small intestine
ekyeeya	heat
ebyeeya	small
akabwegura	repayment
ebibwegura	rewards
akahooho	cough
obuhoho	coughing
akababagazi	a widow
obubabagazi	to be open-minded
akahuna	a crab
obuhuna	tiredness
omunya	the sun
eminya	name
akabubi	the danger
emibibi	wrongdoing
akaimeeme	he breathes
obwimeeme	the soul
akaburyo	to the right
obuburyo	the right side
kahumizi	smallpox
obuhumizi	constipation
akakorwa	used
obukorwa	what to do
akacancabari	uncomfortable
obucancabari	unreasonableness
akasengijo	the saddle
obusengijo	dislocation of the shoulders
enkojo	an injection
enkojo	an injection
ekitengo	cost
ebitengo	costs
akaina/ekina	toys
obwina/ebina	four
ekihuguhugu	cough
ebihuguhugu	feathers
emboro	flower
emboro	flower
ekika kye'njoka	a type of snake
ebika bye'njoka	types of snakes
kihinguraniza	a combination of
bihinguraniza	they're intertwined
akadebe	the spider
edebe	see also
akafunjo	the caterpillar
ebifunjo	mushrooms
akairima	a farmer
omwirima	the darkness
akairiringwa	not to be overlooked
obwiriringwa	loneliness
akagoroda	the sternum
obugoroda	coughing
akagwe	to fall
obugwe	your
akairirizi	uncertainty
obwiririzi	selfishness
akagenda-kahiire	he/she/it is going
obugenda-buhiire	uncertainty
akairukairukaine	a runner
obwirukairukaine	run-of-the-mill
empaka	the controversy
empaka	the controversy
akaisikina	he/she/it is shaking
obwisikina	selfishness
akahimba	he builds
obuhimba	anthrax
akahoiho	healing
obuhoiho	selfishness
akaisikondo	smallpox
obwisikondo	spinal cord injury
akahuna	a crab
obuhuna	tiredness
akahungabeebe	a whirlwind
obuhangabeebe	skill
akajoogo	a crab
obujoogo	coughing
akajugo	word of mouth
obujugo	coughing
akajunde	uncertainty
obujunde	well-being
akakiro	weight
obukiro	old age
akaizigorro	an obstacle
obwizigorro	self-preservation
akajabago	small
obujabago	footwear
akanuriirizi	an eyewitness
obunuriirizi	longevity
akajabirro	a shelter
obujabirro	clothing
akajagarro	discomfort
obujagarro	uncertainty
kwinganiza	to think
kujarra	coughing
kwija	to come
alimansr	German
tandika	start
akajaiko	fear
obujaiko	clutch
akajangu	the cat
obujangu	shortness of breath
akanyamukara	he/she/it is drowsy
obunyamukara	drowsiness
akajanja	healing
orujanja	to be cautious
akanyamukira	he/she/it is going to go
ombunyamukira	a foreigner
akanyamuniini	anemone
obunyamukara	drowsiness
aktindinda	earthquake
obutindinda	a lack of self-control
akanyamurera	the caterpillar
obunyamurere	steadfastness
akanyamwenyi	the squirrel
obunyamwenyi	being silent
ekyena kye'kitoke	what's in it?
ebyabana bye'bitoke	her children's
ambuurra	tell me
amiirra	healing
kwamira	endurance
kujokoza	coughing
kujokoza	coughing
akanyuunyarume	to be quiet
obunyuunyarume	sluggishness
akanywanisa	uncomfortable
obunywanisa	conflict
akanywero	drinking
obunyero	coughing
akaradaari	the radar
obukaradaari	cardiac arrhythmias
akaragwa	heredity
oburagwa	inheritance
akarande	a carrier
oburandaine	the burden of proof
akarebure	white-headed
oburebure	length
akasirimuko	the nightingale
obusirimuko	tooth decay
muyaye	life
obuyaye	uncertainty
kwaka	to build
kwaka	to build
kwagura	to buy
akatiko	committee
obutiko	a box
akarondo	an antelope
oburondo	eyebrows
akarungi	good
ebirungi	good
akarwariro	illness
oburwaro	illness
akashuumo	a cardboard box
akakokomoko	the cockroach
akatima	the crab
obutima	the heart
akasisira	shelter
obusisira	a tent
akasirimuko	the nightingale
obusirimuko	tooth decay
akasirimuko	the nightingale
obusirimuko	tooth decay
akaveera	short-lived
obuvera	to be submissive
allah	God
amaarwa	wounds
