Runyoro,English
-na iwe nukwo wakora,"-I have dug enough,let me go to fetch my self some water"
abanfll b 'owaitu; omusiri gw'omukazi,"People at our borne; a woman's garden.,( l)sing.subj. Pronom.prefix for the third person, he/she. For its use see under A.y is retained when the suffix -ire is added to it. I.v., or pre-prefix for noun prefixes which end in a, e.g. Abaana, children, abakozi labourers. Sing. Subj. Rel. Prefix for the third person, who, that, araakulyaho ebyawe akunwekamveka. The person that will get all what you have from you, flatters you. -a-, (I) Sing. Subj. Pronom. Prefix for third person, he/she, used after present continuous tense prefix ni- and the negative prefix t-: naasoma, he is reading"
aa!,Long deep sound denoting disappreciation of what is done by a person who was expected to perfonn better. Aal na iwe nukwo wakora? What is all this! Have you also done the same thing?
-na iwe nukwo wakora,-what is all this! Have you also done the same thing.
-aa-,For the not still tense
naalimire oho; abagenyi aba yaraize bakaba bafi balnvenda b 'Onwkama; abaanyu; abaabo; abaayo,"Kangye kwereetera amaizi, Ihave dug enough, let me go to fetch myself some water. Aba (1) obj. Rel. Concord for nouns in cl.2, whom; the visitors he accommodated were the King's envoys. (2) gen. Particle for nouns in cl. 2, capable of being added to possessive roots to fonn possessives. Abange, of mine; of yours(pl.); of theirs; of it (cl. 9). The two vowels are dropped before the possessive root -e, e.g. Abe, of his/ hers"
aba,"To become broken or cracked (e.g. Pot), be weak, bilge, have bumps"
akanaga k 'omukaikuru kakaabira hamahiga; amaizi obu ogata omukinaga amaizi obu ogata omukinaga ekitookiibwe kunmgi gakyabya; ebinaga byabibwa amaizi habw 'okutabyo'o'a bikahya kurungi. Hanyuma y'o kubibumba,The old woman 's pot broke while heated on fire; if you put water into a pot that is not well heated it will break it; water will break pots if they were insufficiently heated after being moulded
aba-,"Who, that"
abakozi abaalimire omusiri babasaswire; abeegi aboosire; abeegi abangire kmaaha onwkitebe,"They have paid the workmen who dug the garden. Note; The last vowel changes toe before verb stems beginning with e, to o, before, verb stems beginning with o; learners who have not come to study. The last vowel is dropped before verb stem beginning with a vowel followed by a nasal compound; learners that have refused to get into the classroom"
abaabana,"To disperse, separate, wail with signs of despair"
abeemi bakaabaabana amahe g 'llianga obu gaabagwireho,"When the national army came across the rebels, they all dispersed"
abaabata,"To grope about, feel for"
etaara obu yaraire kuzoora ekintu rwayabaabataga kwonka; omunlu ayabaabasibwa omwirima,When the lamp got out inorderto find out something we had only to grope about; it is darkness that causes a person to grope about
Abbooki,Pet name given to a person by his/her parents at birth
abe,Possessive for the sg. Third person of his/hers
Abeeka,"People of the home, members of the family"
abiirra,"To show signs on the face of approaching death, be near death."
"-obu yaboine omurwaire we yatandika kwabiirra aho yamanya ngu okufa kwe kwahika Omurwaire akabiriira omumikono ya mukazi we,",-she realized that her patient was near death when his face started showing signs of dying The patient showed signs of dying in the arms of his wife
abo,"For people who.. Are not far from the speaker, those"
abuka,"To come to an end, come to a stop, break up (e.g. Market, festivity)"
Nkasanga obugenyi bwabukire ira Ekyabukize akatale obwire bwako butakahikirire kiki?,I arrived on ly to find that the festivity had already ended What has caused the market to an end before its time for it to end?
abura,"To groan, wail, lament; to bring to an end (a session), see"
Ali omzmju naayabura habw'okufa kw'omwana we; Ekirikumwabuza kiti kiki?,She is in the house lamenting the death of her child; What is making her groan like this?
abuuka,To rise quickly
Nkabona naayabuuka hakitabu naagenda Ekyamwabuukya haikaliire kiki?,I just saw him rise up quickly from the bed and then go What has made him/her rise up quickly
abuurra,"To undo, unfasten"
isumi eritaroho mpuruturuzo ligumire kwabuurra; amasumi goona gaburwirwe,A knot without a sliding loop is hard to unfasten; all the knots have been unfastened
Abwoli,-a pet name given to person by his /her parents at birth; but young girls and cats may also be petted so.
-oriare ota abwoli?,-how did you sleep abwoli?/ how was your night abwoli?
Acaali,"-a pet name given to male person by his or her parents, but dogs may be petted so."
-oriare ota acaali?,How was your night acaali/how did you sleep acaali
Adyeri,"Pet name given to a person by his/her parents at birth, particularly if the name given to her/him is Kaikara (woman) or Rwakaikara (man)."
Oriare ota adyeri,How did you sleep adyeri/how was your night adyeri
aga,To which possessive roots and self-standing pronouns are added to form possessives;
Amapapa agaakyo nigeera,It's wings are white
aga,"Of used before the nouns without interrogative verb, to emphasize a possessive or single out something oit of many things"
"Amata nywire aga kitale, aga ruzinda ganywirwe nyineeka,","I have drunk the milk from Kitale (cow), that from Ruzinda (cow) has been drunk by the head of the family"
aga,"-to melt, become liquid;"
aga,"Which, that"
amakuru aga ntungire; amaiba agasomere ensoga amahanga egeteeraine amataagi agoomere hamuti bagatemereho onuurre amapaapaali agengere,The news which I have received. The pigeons which pecked the castor- oil seeds. The united nations; the branches which are dry have been cut from the tree buy me pawpaw which are ripe.
agaaga,"To stroke, rub dewlap of cattle"
ira ente obu yabaga neekamwa baagyagaagaga; ente bazaagaagisa engaro,Long ago a cow would be stroked when being milked; cows are stroked with fingers
agagara,"To sprawl, sit at ease"
Bakamusa ayagagaire hakitabu kya mugenzi we nka nyineeka,They found him sprawling on his brother's bed as if he was the owner of the house.
agisa,"To cause to melt, make liquid"
amagita gakwasire kugoorobya bagaagisiza omusafuliya hamuurro; amagita gaagisibwa omusana,"In order to turn the solid butter into liquid, people melt it in a sauce pan over the fire; butter is melted by the sun"
ago,"For things in mind, that, those"
amakuru ago na nyowe nkagahuurraaho,I also heard of that news
agura,To scratch the body
Nyagura omumugongo oku akamwaguza enono ezitacwire araayagurwa oha obu atagira mwijukuru!,Scratch me at the back He/she scratched him/her with uncut nails Who will scratch him/her since he does not have a grand child!
Agutamba,Title given to the Kings of Bunyoro and Tooro mreanig medicine of tribulation.
aguurra,To tin out seedlings
aha-,Negation root that needs appropriate genitive particles to mean that something or a person is not there
aheeru,"Adv., out, outside. Aho, adv., there. Aho aju ra"
aho,"Dem., for place that is not far from the speaker, or which has been mentioned, or which is known by both the speaker and the person spoken to"
Ohu baahikire aho baaltuumura,"When they got there they rested. Abonaaho.ad1·. Immediately, at once"
abukana,To part from. D1ffer
kigumire omwana 1h11to kwahukaniza embuzi hantaama,It is difficult f'or a young child to differentiate a goat from a sheep
ahukaniza,"To separate, divide, differentiate"
omuntu ayalmkonizibwa omagezi okuniga habisoro ebind1,Man is differentiated by intelligence from other mammals
e111e ze obu zikaba zaatandika kwalwkira obunyansi obu akaba azitwairemu; ekisembo yamutwaliire atakyahukire,"Ahonaaho akabona ehyamaiswa neezigwomu. When his cattle had started grazing on the pasture he took them to, he immediately saw a wild animal attacking them; he/she did not hasten to receive the gift he/she took him/her"
ahukiza,To taketo good pasture orwater
azaahukiize omun1hiira oruhyaka zaalya obunyasi obunikurokera zaiguta,He took the cattle to newly burnt grass and they ate the sprouting grass to the full
ahura,"Put a side, store, take care of"
ahuza,Entrust with
sente ezi na111wah11/iize Buganda bakazimwibaho; sente baamwibireho akaba azaahuzilbwe munyaanya,They stole from him/her the money 1 entrusted with him while we were in Buganda; the money they stole from him/her had been entrusted with him/her by his/her brother/sis ter
ahya,To drive from lair
Ai!,"Oh! Ai bambi!expresses entreaty, Alas!"
ajura,To crawl (baby)
omwana ogu akaajuurro hameezi ataano; akaajuzibwa kuba n'ebyokuzaanisa; akange; akaitu; akaawe; (pl.) akaako; akame aka yaguzire hati kazaire; akasaija,"That child crawled at the age of five months; it crawled soon because it had toys to play with. Aka, (I) gen. Particl e for nouns in cl. 12, (diminutive cl.); of mine; of ours; of yours; of it's own, etc. (2) obj. Rel. Cone. For nouns in cl 12 which, that; the rabbit that he/she bought has now littered. Aka-,(I).prefix for nouns in cl.12 the stems, of which begin with a consonant or the vowel i; the small man,akaibo, the small basket"
aka,"(of motor), to be inoperation"
aka,"To bum, blaze, be hot (of sun)"
omuurro ogwayakiraga omubusozi ekiro gwateekerezibwahoga okuba ogwahembwaga Abacwezi; omuurro gwakiibwe omuyaga,The fire which blazed on top of hills at night was thought of to have been lit by the Abacwezi (spirits and rulers); it is the wind that caused the fire to blaze
Ake-,"For nouns in c/.12, the stems of which begin with the vowel e"
Akiiki,Pet name usually given to a male or female child by pareot(s) at bi11h
akiirra,P1:
akirirwa,{pf. -akiriirwe)
ako,"Dem. For nouns in cl.12, and for things in mind, that"
Akaara ako kirungi kukallvarra omufumu akarora ekikazimbize,It is better to take that little finger to the doctor so that he can find out the reason why it is swollen
akuura,"Lo take an offered thing in the hand, accept"
akanga kurugaho habwokuba akaba ataina muntu ow'okumwakuurra ekisembo kye,"He/ she did not want to go away as he/she did not have anyone to accept his/her present, on his/her behalf"
akya,To get started
akya,"To cause to bum, light, blow up (fire)"
omuurro agubaakiize bahweze,He/she has lit fire for them in order that they may see well
akya,"Blossom, bloom"
ebihimba byakiza ameezi allirra agatali ga11111,Beans blossom at different months
aliirra,I
omukaikun1 ansabire kwmwliriirra enkoko ye; haroho ensi e:itasangwamu bintu by'olcwa/iriza ebyokulya ebirukugya kucumbwa; ebyokulya ebitaaliriirwe bisiiriira,The old woman has asked me to make a nest for her hen to lay eggs; there are countries which do not have materials for spreading at the bottom of pats for food that is going to be cooked; food that is cooked in a pot the bottom of which is not spread with cooking materials gets burnt
alika,To come to an end of a move ina game ofor11soro
-omuzannyongwaherikekye mu bwenkanya,-the game ended fairly
alika,To lay eggs
enkoko ez 'amahuli ag'akatale zaalika k11111ngi ziriisiibwe; haroho ebyok11/ya ebyalikisa enkoko ama/111/i maingi; ama/111/i agaaliJ..wa enkokc eziriisiibwe ebyolculya \ gaahukana 11 'amahuli agenkoko ezee'1iisa zonka,Layers for commercial purpose will lay many eggs when properly fed; there are feeds which make hens lay many eggs; eggs laid by hens which are fed on chicken feeds are different from eggs amiirra laid by free-range hens
alimansl,C/.9
busaho muntu n 'omu amanyire ekyamwalingisize,Nobody knows the cause of his lazing
ama-,"For nouns in cl.6, the stem of which begin with a consonant or the vowel i"
ambika,To give a feastwhen baby cutsfirst teeth
-omwana wange ahikire eziino zeokubanza afire amezi mukaaga,My baby received his cut first tooth at the age 6 months
ambuka,"To cross a swamp or river, to bathe, wash (of king only)"
ambura,"To make to cross, take across a swamp or river"
ambuurra,"To exercise, remove evil (e.g. Meclicine, etc. Used by witch doctors) and put it in cross roads. Amiirra I, kw-, okw-, v.tr"
-Omusawo wange yaatoora edagala aha nzirukano,-my pastor removed the medicine from the cross road
amira,To shout at
Omwegesa wange yanziirukire,My teacher shouted at me
amiza,To speak to (about) dead relative
Amooti,"Pet name given to a person by his/her parents at birth, particulary if he/she is the first of the twins"
-amooti yemerereire aha muhanda,-amooti is standing at the road
amuka,"To passover (of rain, clouds'wind)"
amuliza,To be silent (of house
amura,To withhold rain (old belie1)
amuza,"To shout, cry out in distress"
amya,"To mention name of dead person, speak scornfully of the dead"
ana,& v.i
ensenene nizaana,Grasshoppers are croaking
anamira,To pay a friendly visit in the evening
-omugenzi wange yangenire,-my friend visited me
andaara,To trail along the ground
andabana,To be exhausted (with diarrhorea)
-peace anakoirehonokukora,-peace is exhausted of working
andakaarra,"To be scattered about, in disorder"
andakaraza,"To scatter, exhaust"
andamira,Tosit mourning a long time
anduza,"To be very tired, worn our"
anga,& v.tr
angaarra,\ i
angana,• ( pf. Angaine)
angasana,Toshine
anguha,"To be quick.Jasten, hurry, be easy, be light"
anguhiirra,"To beeasy, quick light"
anguhiriza,"To do too quickly, do carelessly, rash"
anguhya,"To hasten, accelerate"
angura,To use (a pot) for the first time
anika,"To spread out oa the ground, put out to dry"
bbula11giti bagyanikiire ha11si; Biijoomunda naayanikisa nyina ebyokubyamira; oburo tibwanikirwege kiro kya hati,They have spread the blanket on the ground (to get the heat of the sun); Biijoomunda is helping anikiriza asa her mother spread tbe bedding under the sun; finger millet was not spread out to dry today
aoikiriza,To dry slowly
anjara,To spread out
oburo obu babumiisa,"Bakabuswekeerra 11 'enfuka banjara omusiri ogu babumisirenm, wben people spread out the millet grains after using a, boe to cover them, they spread out the soil in which the seeds are planted"
anjuka,"To be lascivious, licentious"
anjura,"To make lascivious, licentious"
anjurruuka,"To be spread, come untied"
anjurukuka,Foreg
anjuurra,To open (book)
Okugura omuryango ogwo oinekyeta enyundo-,To open that door u need a hammer
anuka,To become lean or wasted
Naataka ebiro byange omuri hub-,-l wasted my time in the hub
anura,"To take out of the sun, take in from drying"
anuukura,"To answer, reply,take anoffered thing in the hand. \"
anziira,"To dawdle, idle"
anzika,"To disembark, go aground (boat)"
Apuuli,Pet name given to a male child by bis parents at birth
ara,"To spread out, lay out (beds, etc.), make the bed"
Nyinabwenge naayara ekitab11; okasanga ekitabu kimazire kwarwa; ningoza omuntu araanyaza ekitabu kinu,The house wife is spreading out the bed; I arrived to find that the bed had already been prepared; Iwant someone to help me prepare this bed
Araali,Pet name given to a male child by his parents at birth
arra,To be level
arra,"To spread for, entertain, spread mats,straw and grass"
aruka,"To springup (grain, etc.just appearing)"
arura,To take(hen) outside after chickens are hatched
aruurra,"To take up (mats), take off (coverings)"
anva,Pass
ekitabu kyazirwe omwana,The bedbasbeen spread by child
asa,"To spl it, cleave, chop"
asama,To open (of mouth)
agape,"To keep the mouth open, swallow up"
asamya,To open the mouth
ata,"Lr., {pf. -asire)"
Ateenyi,Pet name given to a person(s) by his/her parents at birth
atiirra,"To be audible, distinct, become known (words)"
Omuvugi w'omugano yahurikiire-,-the speak of the ceremony was audible
atika,"To become broken or cracked, be spilt"
endekuyange eyatikire; endeku ye ekatikira omumuhanda nibaija,My gourd with a long neck has been broken; h.is gourd was broken while on their way borne
atira,To hatch out
atukiirra,"To be well known, famous"
Taata wange no muhanga owamanyikwa mu buhanga bwemihango-,My dadday is a famous fine artist
atura,& v.tr
atura,To speak loudly and distinctly (open confession)
akasoma naayatura,He/she read/prayed loudly
atuurra,"To hatch out, to help to hatch"
enkoko yange eyaturwire,My chicken has helped its eggs to hatch
aya,"To raid, pillage, cut down food plants, loot"
ayaaya,"To force open and tie (mouth of cow), pass. Form, ayaaywa, kw-, okw-"
aza,"To ransack, search for stolen property (but see also under ara, kw-, okw-"
"start, origin",Endugirro
"gall, gallbladder",Endurwa
type of banana,Endyabagole
wars or conflicts,Endwano
weaver bird,Endegeya
to work hard,Kukoranamani
rubbish,Faakalimba/ebirofu
flannel,Akasengijo
gun cup,Fataati
to snuffle,Feekya
silver,Feeza
refrigerator,Firiji
whistle,Firimbi
"to plait, interlace; tack",Kusiba
"to be vacillating, unsteady",Kutatereera
to squash,Footora
"dismay, confound",Fubeereza
"to punish, frustrate",Fubira
"to pump,blow (bellows)",Fuguta
to wrestle,Fukaana
"to choke, strangle",Fuliiteza
"to prod, thrust",Fuma
to clasp,Fumbasa
