NRA ekaleeta endema endi.	The NRA developed a parallel administration.
Omumwaaka enkumi ibiri nasatu, nittwiija kuba tumazire kukeehya okwamaani hakusisikalirwa ebyobuhagwa.	By 2030, we will have achieved a significant reduction in the loss of biodiversity.
Abaire nayebembera akatebe kumara emyaka atakafokere karagiira omukuru	She had been managing a team for years before she became director.
Ekyaro kyaitu kikonyera abanyakuli omukwetaaga.	Our village has always helped those who are in need.
Enkoragana yobusubuzi empyaka niija kumwikya ebitundwa aheeru eby'obulimi	The new trade deal will boost agricultural exports.
omusaija angire ensimbi omubyara ensimbi omubihanfanzi	He has invested in a real estate investment trust.
Omubazi gwa sente nyingi baitu nigukora.	The treatment is expensive but effective.
Kumara emyaka nyingi nyinenkuru nyowe aruka ebiibo eby'akatale.	My grandmother had been weaving baskets for the market for many years.
Ebijaguzo byona byabamuga okuzina nokucekeca.	Traditional music and dance accompained ceremonies.
Omukazi abaire nakora omukikeeto kumara emyaka atakafokere mukuru w'ebyensimbi.	She had been working in the accounting department for years before she became CFO.
nyowe ngura ebintu omu duuka etakanizibwe buli wiiki	I buy groceries from the supermarket every week.
Irwarro line ekyahuro kyebitabu ebirukukwataho ebyobwomezi.	The hospital has a patient library with health information.
Hakumaliirra kwenteekaniz'enu , nitwija kuba lwegeseze abalimi hamuringo y'orwezo kuruga mubijunzire.	By the end of this project, we will have trained one thousand farmers in organic methods.
Noija kweetagisibwa amaino gawe kwogebwa omu irwarro emirundi ebiiri omwaka.	You'll need to have your teeth cleaned twice a year.
cukama rwomunyanja ekasinduka amahuuzo gamakamba	The sea cucumber squirted sticky threads to defend itself.
Gavumenti eresire enkora y'okucwaaho emihendo y'ebintu habw'abalimi abarukukozesa ebyolimi ebirukwikaraho.	The government is providing subsidies for farmers who practice sustainable agriculture.
omukazi nayega kukozesa emirungo nigwija kuba nigukozesa ebyama ebirukumuga sira randi eko bikamanya empindurra hinduka nenyakuli orumwanya nomubwire	She had been learning about sustainable agriculture.
Omuka ey'omunyoro abantu nibesorooza habw'orukurato.	People are gathering at the chief's house for the meeting.
omukago gwobusubuzi omuhyaka nugwija kwimukya ebyokutunda aheeru	The new trade deal will boost exports.
Akahuka nikajanjara muno mubantu?	The virus is circulating widely in the community.
Omulimi akombera omusiri gwe ogwa muhogo sabiiti ehoire.	The farmer weeded his cassava field last week.
Busaho kintu ekibi nk'okurubata omu maizi ojwaire sokisi...	There's nothing worse than stepping in a puddle with socks on .
Mutabani wange akankaguza "Ruhanga araha?" namwoleka hamutima gwange nogwe.	My son asked me, "Where is God?" I pointed to my heart and his.
Omurro kahulika niguruga hansi gukahangaho ekizinga hagati y'enyanja enkooto.	The volcanic eruption created a new island in the middle of the ocean.
obu lsomero liraaba nirikubuza obusinge tekerezaaho muno obuharaaba hasroho omulingo ogundi	If school is making you miserable, consider whether there's another way.
ljo omulimi akagesa ama candege agekijungu yagatwara rugasa	The farmer harvested his sunflower and took it for pressing yesterday.
Abasungi abaingi , basemereriirwe abateezi bebidongo basaba babongereyo ekizina ekindi.	The crowd is cheering for the band to play one more song.
Nambere baisenkuru itwe abaira bahumuliire nuko turaziika abafu baitu.	We will bury our dead in the ground where our ancestors rest.
Nkeega kusiima omubusalizi, eki kindagirra nkyali mwomezi.	I've learned to be grateful even in pain-it means I'm still alive to feel.
ebinyoma bikagendera mu rukoorra bihumbire ebyaana byabyo nubigaru mukwiina kyaarwo	The ants marched in a long line carrying crumbs back to their nest.
oruganda rwaitu rwina omulingo omutongole nkoku tutagiira omwaka omuhyaka .	Our clan has its own special way of welcoming the new year.
Ibura ly'amaizi likwasireho muno ebyobulimi mu kicweeka kyaito.	The water scarcity has been affecting agricultural production in the region.
Omulimo gwokugarraaho ebibira gugarwire enyamaiswa ezikaba zibuzire mukiikaro.	The reforestation project has brought back wildlife that had disappeared from the area.
Omwegesa wange owungonza akagamba nyine ekisembo ky'okuhandiika -ebyo ebigambo bikaguma nanye.	My favorite teacher told me that i had a gift- for writing those words stayed with me.
kakuba ntararabirweho baasi ekiro eki tinakutangaine engajani yange.	if i hadn't missed the bus that day, i never would have met my best friend.
owenanga ruhuhwa nayongeramu okukwatwaho kwobujure nokwecumitiriza omumaraka gebidongp	The harmonica player adds a bluesy feel to the band's sound.
omusoro omuhya nigwija kuteebwa omuunkora mumwaka omuhyaka	The new tax will be implemented next year.
Balimire amawinde nibakozesa karakita.	They have plowed the fields using a tractor.
Pamba ekafooka ekirimwa ekirukuleeta entahya omu Uganda omukutandika okwekyasa ekya 20.	Cotton became a major cash crop in the early 20th century Uganda.
ntangainege munywani wange owaira ijo	I ran into an old friend yesterday.
Abaikazi bombekere ibandiro lihyaka haiziba ly'emirwa.	The community has built a new shrine at the sacred spring.
akatebe akatunzi nikahayo hali omuguzi owamaani	The sales team is presenting to a major client.
Nkaba ntukaterezaaga ngu ndisobora kusura enju eka , baitu dera ndihamu , ninyija kutekaho omukono hampapura sabbiti erukwija.	I never thought l'd be able to buy mu own home , but here l am , signing the papers next week.
Bakatulemesa kutahamu.	They prevented us from entering.
Hakumaliira kwe kyaasa kiru nitwiija kuba tumazire kwatundwira enkoragana yaitu n'ebyobuhangwa.	The the end of this century ,we will have transformed our relationship with nature.
ndozirege ebituuru byebisisaru ebisarazirwe ebirukugambaho oruganikyo rwomukama owamaani kiro kyaijo	I watched a shadow puppet show that told the story of a great king yesterday.
Akarwarro kaheereza obuheereza obukwatiraine n'okuzaara.	The clinic provides prenatal care for expectant mothers.
kakuba gavumenti yataireho omuhendo gwahansiho habwengo zamani gizooba abantu abaingi bakubaire nibakozesa amaani agaani agarukugarurwa buhyaaka	If the government had subsidized solar panels, more people would use renewable energy now.
Akangambira ,"lzooba ndigenda kwongera kwimuka nyenkya, kandi naiwe nukwo".	She told me , "The sun will rise again tomorrow, and so will you".
akaire ruko kamu sabbiti erukwija nitwija kuhumuraho ha mwaro	This time next week, we'll be lying on a beach.
Ekiro kyaijo omwigi w'enjura eyiturukwetaaga acekecerege kuleeta rnjura.	The rainmaker danced to bring the rain that we need for the crops yesterday.
Ebiro bisatu omu rubuga orututatekanizaaga kobunga.	Three days in a city we'd never planned to visit.
Akatebe akeby'ensimbi nikamaliiriza ensoborra ( ripoota ) eyabuli mwaka.	The finance team is finalizing the annual report.
Omusaija akuziibwe hamulimo.	He has received a raise at work.
Omwehanga hangi ekisisani nyaisatu , akaiihamu kurungi ,mukikuya kyomuti kimu kiti.	The sculptor has chiseled a figure out of a single block of wood.
Nsabira amadiini goona omugisa-itwena tuli baana ba Ruhanga omu.	I pray for peace among all religions-we're all children of the same God.
Rora ebinyonyi omumwanya, tibisiga, tibigesa baitu Isinywe anyakuli omwiguru abiriisa.	Look at the birds of the air; they do not sow or reap, yet your heavenly father feeds them.
Ekka yaitu ejaguza amagesa na mazina ag'okusiima ensi.	Our family has always celebrated the harvest with a dance that thanks the earth.
Ntiirelye ebisisani rudingisa nabusindika hamura kiro kyaijo.	I drew a funny cartoon and posted it on social media yesterday.
omunya ruraiha rahuhanyga kira yairuka ekinyonyi kugikwaata	The skink wiggled its tail and escaped from the bird's grasp.
omukazi ataaha naworoza hamu nokulinda	She had been collecting indigenous seeds for preservation.
Itwe tusiima emizimu ey'omunsozi nomumyandara namabaale.	We give thanks to the spirits of the mountains for the rocks and stones.
Obworaba nogonza kwetrgereza ebyobuhangi bwaaitu tandika nebyokulya byaitu.	If you want to understand our culture, start with our food.
embina yomukisaka ekairukya empara habwa mairu nyingiho kuhirya obuyajwahire	The wild dog chased the impala for miles until it tired out.
Kakuba ndi wokukugambira ekintu kimu hali enaku, nikyo ngu otaligyehugura-ogirabemu.	If I could tell you one thing about grief, it's that you never get over it-you get through it.
abantu abaingi abesoroize abaijwiire omwiro omuzaano gutakatandikire	The crowd is buzzing with excitement before the show starts.
Abasungi nibaseyeya enyuma nomumaiso habwekizina ekiruugenda mpora mpora.	The crowd is swaying back and forth to the slow music.
enyange ekeemerra eterekeriire mumaizi agatahamire	The egret stood perfectly still in the shallow water.
Ninyujuka akasumi akananyiire kimu ngu nuwe nywani owahikire- obwataransekeriize omukasu kange akabi.	I remember the exact moment l knew she was a true friend - when she didn't laugh at my worst moment.
Enyunyuzi zaaka kukungi obuziba zili haraha ,n'etaara zomwabuga.	The stars shine brightly in the night sky away from city lights.
Abebyokuseruliriza bakaba nibecumitiriza obubarozire emiringo y'ebinyonyi ebihyaaka.	The researchers were studying bird migration patterns when they discovered a new species.
Enganikyo zoleka ebya abantu abakuru ebibamanyire	Oral history projects record elders' memories.
Noija kwetaagibwa kuteekaho obutagasi rundi obufuki ha kicweka ekihutaire.	You'll need to apply heat or ice to the injured area.
Abasigazi nibakora orugo rw'ente.	The young men are building the new kraal for the cattle.
enju yemizaano yaharutuutu empyaka nijja kwoolekaga emizano yasekisipiya buli bwiirre oburutagata	The new theater will stage Shakespeare plays every summer.
Omubazi nigusobora kukoragana n'emibazi endi.	The medication may interact with other drugs.
Abasebeni bakagaruka nentekereza empyaka hamu nokunihira.	Veterans returned with new ideas and expectations.
Omusoro og'wendema eya matwale kukahambiriza baingi kupagasa.	Colonial taxation forced many into wage labor.
Omukyaro kyaitu omuntu obwafa ,abasi,bensi boona baterana bazagika abafeerwa.	When someone die in our village , the whole community comes together to support the family.
Omuntu obwafa , ekyaro kiija kugaragara , kababe bamanyire kurungi rundi tibamanyire.	When someone dies , the whole village comes to pay respects , whether they knew them well or not.
embuzi nizihebwa omubazi gwenjoka buli kasumi	The goats are being dewormed regularly.
Omurundi gwokubanza nkagenda kutunga obujanjabi ekintu ekibangambiire ekinkaba nsemerire kuzonzora nyowe nyenka.	The first time I went to therapy, I was terrified of what I might discover about myself.
Noija kwetaaga kujwara ekiseminti kumara sabiiti mukaaga.	You'll need to wear a cast for six weeks.
Obusasi bwija nkebigonzi ebiro ebimu ninyikya ,ebiro ebindi tindukusobora.	The grief comes in waves some days l can breath , some days l can't.
Orugendo rwegaali y'omwika kuraba omu bugwa izooba rukaba muno habwokuba nta hungi reho kakube kukoimya.	The train ride through the countryside was so beautiful that i did'nt sleep a wink.
Obuntekereza ngu nkyetegeriize,nubwo nyega ekintu ekihyaka.	Everytime I think I've figured it out, I learn something new.
Ekitebe kikahwahi omumwaka ogwa 1977 habwobutetegerezangana omubyendema.	The community collapsed in 1977 due to political differences.
Obuguuda bwihanga butungire omurro ogwokutemba okwemihendo.	The economy is facing inflationary pressures.
omusaija takasferwaya embaagwa	He has never missed a dividend payment.
Kakuba omuswija gutakeeha kikahika nyekya, ogaruke omu karwarro.	If the fever doesn't go down by tomorrow, come back to the clinic.
Ntaaha nyine obuleemezi okutekaho omutiima.	I've been having difficulty concetrating.
Uganda ey'ekyasa ekya 19 eri omubihandiiko ebyabakwenda abenjiri.	Missionary writings document 19th century Uganda.
akandindisa kumara esaaha	She made me wait for an hour.
Kiro kyaijo omuzini ahaisanizeege omunyoro habwo bumanzibwe.	The praise singer honored the chief's bravery with his song yesterday.
Obulemi obw'ababiito bwebembiire Bunyoro kuruga omukyasa ekya ikumi na mukaaga.	The Babiito dynasty has ruled Bunyoro since the 16th century.
Kakuba gavumenti yakozeseze kare amaani Twakubaire lwiina ebitwehinguliriize ebyeowruuu muno.	If the government had invested in renewable energy earlier, we could have a cleaner environment now.
ninyetaga kukehya sukali	I need to cut down on sugar.
