enkura	Rhinoceros
ebyokoora	Poison given by witchdoctorses
esafaali	Journey, tour
tukama ente buli nyenkyakara	We milk the cows every morning
juurra	To appeal. Refer to, quote, cite, give evidence.
ebirahuli	Glass, tumblers
bisa	Labour pains
ebitarira	Scattered animal spots
kuondomu	Small ball, condoms
-oyine kufunya esatii oli omukukora	-you are supposed fold to a shirt when u are working.
jagaraza	To excite, out spread fingers
boigora	To bark; speak roughly
enguudo	High road, street
ebyakyo	Flower,blossoms
bona	Experience (trouble, etc.)
empeese/enfuka empyaka	A hoe new
entenge	Small beads
jwambura	To do quickly
ekisoma	bean leaves
bakaba nibazaana owanyina yamutonokya ekihooya yatandika kurra; akamutonokeza omukizaaniro nibazaana; atonokiibwe mugenziwe obu babaire nibazaana	They were playing when accidentally his/her brother caused pain in his/her sore and consequently she cried; He/she caused pain in his/her sore while they played; It is his/her brother/sister that caused pain in his/her sore while they played
obuhuna	Silence due to suprises
emengo	Grinning stones
enkubebe	Worker termite
Ebabura	Of his/her relative
ekyeera	Albino
amabaale	Stones
-nakufuuhira musijaa wee.	-She is jealous of her husband
akasiisira	Make shift hut
esenza	SW.cane rat
taahirwa	Pass
ekikomo	Copper, large brass bracelet
tabanguka	To be up, stirred become muddy. To stir up, upset
ebirukirro	Nicknames
ebitaba	Ditches
tungirwa	P ass., =fo reg
funuura	To masturbate, push back foreskin penis
ekihohe	Soft immature calabash
ekyesingo	Self-will
tumya	send for from a distance
ensindizi	Owl, sad, lonely person
dudura	Beat unmercifully, flog
emilyoni ikumi	Ten million
abasibensi kukora n 'amaani nikyo kitumbuza ekyaro /.y. abo	Hard working of the inhabitants brings progress in their
bisuba	Lies, deceit
kurandaranda	Creeping plants
busaho muntu anyakugonza kutugunjuurra ekintu omungaro ze	No one likes squashing something in hands his/her
rwebagyo Baitu tiimmanyirege mbere abaire naataaruukira enaku	Yesterday evening walking aimlessly and Icould not tell where he was walking to; Necessitfos are making him/her walk aimlessly
amakebe	Fat cheeks
bwomuntu	Humanity
Ekukumika	To hide, escape
tugunya	To tread on, squash
teekera	To sharpen {knife)
ente ze zikaburwa enimi ey'okuziteegesa	His cattle lacked a bull to entice them on tecga teckura heat
ebikoba	Peeled off skins
ebigambo ebi bitebiibwe abahuliirege orubazo rwe	The news was told by those who listened to his/her talk
fooka	Become, be made, change, draw (a bow)
ebikule	Hunting-horns
bbeeseni/bafu	Basin
amaizi aga kufuka	Water;cold water
ensorrokano	Assemblies
omukonko	maize Sw.cereal: cob
ekitanakya	Emetic, vomit makesone
buli kiro	Everyday
leka kungambisa akasozi nikantentebukya	Stop making me speak as the slope of a hill is forcing me to fall forward. Teoteerra, ku-, oku, v.i
tona	To depict by marks, paint
Ekulingura	To roll, wallow
akagemo	Force,compulsion
amacumu bagatyaza nukwo galunge obwogi akabatanga kutyaliza bw'okucumita; amacumu gaabo haihyoro lye	Spears are sharpened in order that they may be able to pierce an animal easily; He stopped them from sharpening their spears on his whetstone
ensamaaki	Fish
bonsatu	Three of them
bucuzi	Upside down
